rede;logradouro;bairro;latitude;longitude;data_primeira_venda;nm_Loja
FARMÁCIAS PAGUE MENOS;LARGO DA CONCEIÇÃO, 18;CENTRO;-22,9192780;-43,0487440;28/02/2024;2 - FARMÁCIAS PAGUE MENOS
DROGASIL;ESTRADA INTENDENTE MAGALHÃES, 908;BENTO RIBEIRO;-22,8773975;-43,3636592;31/08/2023;3 - DROGASIL
DROGA RAIA;RUA DO IMPÉRIO, 91;SANTA CRUZ;-22,9146095;-43,6868580;30/08/2023;4 - DROGA RAIA
DROGARIA PACHECO;ESTRADA DO MENDANHA, 555;CAMPO GRANDE;-22,8643032;-43,5490042;30/07/2024;5 - DROGARIA PACHECO
DROGA RAIA;AVENIDA AMAZONAS, 282;BALNEÁRIO REMANSO;-22,5253906;-41,9463664;09/07/2023;6 - DROGA RAIA
DROGASMIL;AVENIDA NOSSA SENHORA DE COPACABANA, 978;COPACABANA;-22,9765052;-43,1905694;31/05/2023;7 - DROGASMIL
DROGARIA TAMOIO;RUA GENERAL PEREIRA DA SILVA, 254;ICARAÍ;-22,9012590;-43,1092538;11/09/2024;8 - DROGARIA TAMOIO
DROGA RAIA;RUA CAPITÓLIO, 15;CAMPO GRANDE;-22,8961727;-43,5770385;30/04/2024;9 - DROGA RAIA
DROGASMIL;RUA DO CATETE, 130;CATETE;-22,9252855;-43,1767693;28/07/2023;10 - DROGASMIL
DROGARIA PACHECO;RUA MARIA ANGÉLICA, 113;LAGOA;-22,9617994;-43,2080210;07/06/2024;11 - DROGARIA PACHECO
DROGA RAIA;AVENIDA TEIXEIRA E SOUZA, S/N;CENTRO;-22,8825102;-42,0236904;18/01/2024;12 - DROGA RAIA
DROGA RAIA;RUA JOSÉ LOURENÇO AZEVEDO, 128;ROCHA;-22,8324463;-43,0387074;15/10/2024;13 - DROGA RAIA
DROGARIA PACHECO;AVENIDA MARACANÃ, 987;TIJUCA;-22,9215315;-43,2354314;03/01/2024;14 - DROGARIA PACHECO
DROGA RAIA;ESTRADA DOS BANDEIRANTES, 20100;VARGEM PEQUENA;-22,9829593;-43,4693362;29/09/2023;15 - DROGA RAIA
DROGA RAIA;RUA BENJAMIN CONSTANT, 575;SANTANA;-22,8713423;-43,1044446;07/12/2023;16 - DROGA RAIA
DROGASMIL;RUA SANTIAGO GUERRA, 345;CACHAMBI;-23,0074508;-43,4527845;31/07/2023;17 - DROGASMIL
DROGASMIL;RUA DO CATETE, 234;CATETE;-22,9270219;-43,1766223;09/08/2023;18 - DROGASMIL
DROGASMIL;AVENIDA DAS AMÉRICAS, 15500;RECREIO DOS BANDEIRANTES;-23,0119956;-43,4616210;29/11/2023;19 - DROGASMIL
DROGARIA PACHECO;ESTRADA ROSÁRIO, S/N;JARDIM PRIMAVERA;-22,6795694;-43,2634073;04/07/2023;20 - DROGARIA PACHECO
DROGA RAIA;RUA PASTOR LUIZ LAURENTINO DA SILVA, 208;PESSOINHA;-22,4819585;-42,2027641;04/04/2024;21 - DROGA RAIA
DROGARIA PACHECO;RUA DO CATETE, 248;GLORIA;-22,9241666;-43,1769664;07/03/2024;22 - DROGARIA PACHECO
RAIA DROGASIL S/A;RUA CAMBAÚBA, 965;JARDIM GUANABARA;-22,8126100;-43,2077130;02/04/2024;23 - RAIA DROGASIL S/A
DROGASIL;ESTRADA DO MENDANHA, 19;CAMPO GRANDE;-22,8881345;-43,5599768;31/08/2023;24 - DROGASIL
DROGARIA PACHECO;AVENIDA ABÍLIO AUGUSTO TÁVORA, 9;CENTRO;-22,7612156;-43,4549600;26/08/2024;25 - DROGARIA PACHECO
DROGA RAIA;AVENIDA LÚCIO COSTA, 8000;BARRA DA TIJUCA;-23,0262499;-43,4614352;14/12/2023;26 - DROGA RAIA
DROGARIA TAMOIO;AVENIDA JOAQUIM TOMAZ AQUINO FILHO, 137;CENTRO;-21,6340367;-41,0482706;26/03/2024;27 - DROGARIA TAMOIO
DROGA RAIA;AVENIDA CORONEL PROFESSOR ANTÔNIO ESTEVES, 1700;MORADA DA COLINA;-22,4850971;-44,4889766;10/02/2024;28 - DROGA RAIA
DROGARIA TAMOIO;AVENIDA RAUL SOUTO MAIOR, 321;GOITACAZES;-21,8380438;-41,2601028;30/11/2023;29 - DROGARIA TAMOIO
DROGARIA PACHECO;PRAÇA EDMUNDO REGO, 17;GRAJAÚ;-22,9229520;-43,2649802;09/07/2024;30 - DROGARIA PACHECO
DROGA RAIA;RUA NOVA REPUBLICA, 21;PENDOTIBA;-22,8787279;-43,0258591;31/08/2024;31 - DROGA RAIA
DROGASMIL;AVENIDA DAS AMÉRICAS, 3201;BARRA DA TIJUCA;-23,0010063;-43,3416865;17/10/2023;32 - DROGASMIL
DROGARIA PACHECO;RUA DOUTOR FELICIANO SODRÉ, 164;CENTRO;-22,8241483;-43,0479102;21/06/2023;33 - DROGARIA PACHECO
DROGARIA PACHECO;ESTRADA RIO DO A, 816;CAMPO GRANDE;-22,9003003;-43,5668598;17/03/2024;34 - DROGARIA PACHECO
DROGARIA PACHECO;RUA FELIPE CARDOSO, 1520;SANTA CRUZ;-22,9279431;-43,6773522;21/07/2023;35 - DROGARIA PACHECO
DROGA RAIA;RUA SALVATORI, 675;ROCHA;-22,8332132;-43,0389223;23/04/2024;36 - DROGA RAIA
DROGARIA PACHECO;AVENIDA HELIÓPOLIS, 1133;HELIÓPOLIS;-22,7399156;-43,4095273;02/03/2024;37 - DROGARIA PACHECO
DROGASMIL;RUA ARISTIDES LOBO, 242;RIO COMPRIDO;-22,9240171;-43,2090469;15/08/2023;38 - DROGASMIL
DROGASIL;AVENIDA DOM HÉLDER CÂMARA, 10016;CASCADURA;-22,8821979;-43,3234553;20/06/2023;39 - DROGASIL
DROGARIA PACHECO;AVENIDA DAS AMÉRICAS, 6101;BARRA DA TIJUCA;-23,0007498;-43,3835775;18/06/2024;40 - DROGARIA PACHECO
DROGA RAIA;RUA BARTOLOMEU BUENO DA SILVEIRA, 350;SANTO AGOSTINHO;-22,4880737;-44,0853484;28/09/2023;41 - DROGA RAIA
DROGA RAIA;RUA JOÃO MARTINS ASSIS, S/N;GRAMACHO;-22,7523096;-43,2739077;21/12/2023;42 - DROGA RAIA
DROGA RAIA;AVENIDA DAS AMÉRICAS, 1940;BARRA DA TIJUCA;-23,0000714;-43,3346809;21/07/2023;43 - DROGA RAIA
